Year,Naics,State,prepared,excess_high_lbs,excess_low_lbs
2020,Full-Service Restaurants,NY,1920827,655536002,349778872
2020,Full-Service Restaurants,OH,246416,316165971,160219719
2020,Full-Service Restaurants,OK,86417,97897029,47456845
2020,Full-Service Restaurants,OR,380338,173535138,93281339
2020,Full-Service Restaurants,PA,203083,369538808,175983154
2020,Full-Service Restaurants,RI,131628,34542472,17218048
2020,Full-Service Restaurants,SC,100231,124779354,62916254
2020,Full-Service Restaurants,SD,13156,16340541,7779017
2020,Full-Service Restaurants,TN,157154,318089549,113920222
2020,Full-Service Restaurants,TX,669015,1153776264,513530393
2020,Full-Service Restaurants,UT,40399,86530475,38043804
2020,Full-Service Restaurants,VA,205751,268595552,134843876
2020,Full-Service Restaurants,VT,36073,17667590,9395988
2020,Full-Service Restaurants,WA,711285,221033286,116212675
2020,Full-Service Restaurants,WI,68576,117398429,56128875
2020,Full-Service Restaurants,WV,32259,52871567,17889779
2020,Full-Service Restaurants,WY,6028,15183837,7406158
2020,Limited-Service Restaurants,AK,15838,11949592,6517993
2020,Limited-Service Restaurants,AL,202560,68275350,36112020
2020,Limited-Service Restaurants,AR,119956,64188845,27523714
2020,Limited-Service Restaurants,AZ,255940,129204389,77116682
2020,Limited-Service Restaurants,CA,19461893,841419089,412710218
2020,Limited-Service Restaurants,CO,205934,115568791,69189279
2020,Limited-Service Restaurants,CT,1561679,71518381,38602401
2020,Limited-Service Restaurants,DE,28275,17085134,9295208
2020,Limited-Service Restaurants,FL,709279,659724522,346510369
2020,Limited-Service Restaurants,GA,415303,220508063,113119206
2020,Limited-Service Restaurants,HI,38823,27317273,12762887
2020,Limited-Service Restaurants,IA,102546,61302257,31983670
2020,Limited-Service Restaurants,ID,55197,30553843,15462218
2020,Limited-Service Restaurants,IL,433125,1019693945,137528561
2020,Limited-Service Restaurants,IN,242558,127757481,65285165
2020,Limited-Service Restaurants,KS,115495,155340632,125560696
2020,Limited-Service Restaurants,KY,179826,116021801,48433295
2020,Limited-Service Restaurants,LA,169260,93794679,50757942
2020,Limited-Service Restaurants,MA,2898740,111658997,60588217
2020,Limited-Service Restaurants,MD,2906229,123324899,68211774
2020,Limited-Service Restaurants,ME,32838,17600846,10398674
2020,Limited-Service Restaurants,MI,337131,209633634,99158214
2020,Limited-Service Restaurants,MN,163120,123854824,67336992
2020,Limited-Service Restaurants,MO,226992,125838772,73602367
2020,Limited-Service Restaurants,MS,116663,52086715,25190488
2020,Limited-Service Restaurants,MT,29252,18198863,8984717
2020,Limited-Service Restaurants,NC,399289,240036172,99422842
2020,Limited-Service Restaurants,ND,24014,17362927,7698267
2020,Limited-Service Restaurants,NE,74493,45508553,20081541
2020,Limited-Service Restaurants,NH,38225,16838526,9470438
2020,Limited-Service Restaurants,NJ,3390752,178120780,103127183
2020,Limited-Service Restaurants,NM,69697,37040193,17227169
2020,Limited-Service Restaurants,NV,123362,51044477,30389549
2020,Limited-Service Restaurants,NY,6747374,443734960,219238864
2020,Limited-Service Restaurants,OH,426686,238278559,133884713
2020,Limited-Service Restaurants,OK,163855,76915488,34090230
2020,Limited-Service Restaurants,OR,2019492,93847066,54930083
2020,Limited-Service Restaurants,PA,326282,246147491,121440108
2020,Limited-Service Restaurants,RI,476929,19343948,11134534
2020,Limited-Service Restaurants,SC,197166,91339143,45037153
2020,Limited-Service Restaurants,SD,30482,21025273,12699489
2020,Limited-Service Restaurants,TN,281289,163324404,74232365
2020,Limited-Service Restaurants,TX,1129077,623814993,332151523
2020,Limited-Service Restaurants,UT,106787,58875500,29096476
2020,Limited-Service Restaurants,VA,310188,145230389,82783748
2020,Limited-Service Restaurants,VT,174920,9242999,5438619
2020,Limited-Service Restaurants,WA,3263261,141331042,77433146
2020,Limited-Service Restaurants,WI,166525,110993606,55006410
2020,Limited-Service Restaurants,WV,63491,25949914,14071677
2020,Limited-Service Restaurants,WY,21318,7573466,4216005
2021,Caterers,AK,160,764348,298453
2021,Caterers,AL,957,5080187,2268033
2021,Caterers,AR,781,2369076,1060134
2021,Caterers,AZ,2420,11087986,4290133
2021,Caterers,CA,1683025,88978698,46515199
2021,Caterers,CO,3121,11389335,5244687
2021,Caterers,CT,220329,10472682,5134245
2021,Caterers,DE,247,1756967,632715
2021,Caterers,FL,9878,66639819,28071934
2021,Caterers,GA,4877,25295019,8775003
2021,Caterers,HI,1078,4599795,2778078
2021,Caterers,IA,799,5565514,1740769
2021,Caterers,ID,534,1465648,550027
2021,Caterers,IL,8951,28176421,14767870
2021,Caterers,IN,3867,9785798,3999187
2021,Caterers,KS,1016,3440670,1672872
2021,Caterers,KY,1875,19739785,4556551
2021,Caterers,LA,2921,18655108,7460052
2021,Caterers,MA,498277,14555882,7964528
2021,Caterers,MD,352481,15485158,7090650
2021,Caterers,ME,719,1213492,585631
2021,Caterers,MI,7271,15610805,6566685
2021,Caterers,MN,3207,10303788,4284078
2021,Caterers,MO,3682,10763513,4431143
2021,Caterers,MS,516,4026153,1918372
2021,Caterers,MT,378,1499369,629829
2021,Caterers,NC,4023,17922135,7809060
2021,Caterers,ND,165,1541410,506087
2021,Caterers,NE,944,2955462,1354155
2021,Caterers,NH,999,1988879,851516
2021,Caterers,NJ,651290,27371777,13621748
2021,Caterers,NM,407,2590668,991919
2021,Caterers,NV,957,5743028,3895677
2021,Caterers,NY,1276082,47169378,24306582
2021,Caterers,OH,7541,18088788,8714725
2021,Caterers,OK,1862,4937381,1552484
2021,Caterers,OR,131814,7264647,3465731
2021,Caterers,PA,7548,27309995,11558788
2021,Caterers,RI,88853,2288991,1074809
2021,Caterers,SC,2874,6323908,2793712
2021,Caterers,SD,189,1156214,452682
2021,Caterers,TN,2573,12730781,6248932
2021,Caterers,TX,12629,54049016,20184856
2021,Caterers,UT,1804,3916346,1860778
2021,Caterers,VA,3561,20405160,7250538
2021,Caterers,VT,34166,1039430,516972
2021,Caterers,WA,291028,9596357,4942706
2021,Caterers,WI,3257,7350705,2832271
2021,Caterers,WV,159,2471718,1304877
2021,Caterers,WY,222,364202,194408
2021,Full-Service Restaurants,AK,5145,17524658,7930288
2021,Full-Service Restaurants,AL,95128,114919066,55257916
2021,Full-Service Restaurants,AR,50655,57327297,27368723
2021,Full-Service Restaurants,AZ,130109,231204016,110959477
2021,Full-Service Restaurants,CA,3425481,1491779280,794580236
2021,Full-Service Restaurants,CO,114168,195507751,103100674
2021,Full-Service Restaurants,CT,290551,120343956,60474007
2021,Full-Service Restaurants,DE,18826,31002852,15679448
2021,Full-Service Restaurants,FL,520556,1091889938,545086763
2021,Full-Service Restaurants,GA,228055,328385069,161709183
2021,Full-Service Restaurants,HI,21485,47021028,26033493
2021,Full-Service Restaurants,IA,37979,72193464,33206640
2021,Full-Service Restaurants,ID,20233,44499435,22406502
2021,Full-Service Restaurants,IL,193065,457530753,172110037
2021,Full-Service Restaurants,IN,118705,179232020,92210621
2021,Full-Service Restaurants,KS,50621,69447305,31150086
2021,Full-Service Restaurants,KY,94524,124588267,52728895
2021,Full-Service Restaurants,LA,58406,141610876,70263704
2021,Full-Service Restaurants,MA,719490,225664512,128226200
2021,Full-Service Restaurants,MD,703736,180724719,100684668
2021,Full-Service Restaurants,ME,15215,32779303,17802552
2021,Full-Service Restaurants,MI,130275,221672537,108875859
2021,Full-Service Restaurants,MN,72370,230070334,82800974
2021,Full-Service Restaurants,MO,105547,144680428,72769743
2021,Full-Service Restaurants,MS,42008,63254949,29759780
2021,Full-Service Restaurants,MT,13127,26322278,13536977
2021,Full-Service Restaurants,NC,180192,308233980,139881415
2021,Full-Service Restaurants,ND,15784,16562681,8094718
2021,Full-Service Restaurants,NE,27576,45284162,21322996
2021,Full-Service Restaurants,NH,24162,36300358,17670294
2021,Full-Service Restaurants,NJ,803559,270200753,137190094
2021,Full-Service Restaurants,NM,36698,64272620,34369453
2021,Full-Service Restaurants,NV,62652,88667002,47630073
2021,Full-Service Restaurants,NY,1204498,655536002,349778872
2021,Full-Service Restaurants,OH,236879,316165971,160219719
2021,Full-Service Restaurants,OK,83152,97897029,47456845
2021,Full-Service Restaurants,OR,241657,173535138,93281339
2021,Full-Service Restaurants,PA,195225,369538808,175983154
2021,Full-Service Restaurants,RI,82699,34542472,17218048
2021,Full-Service Restaurants,SC,97230,124779354,62916254
2021,Full-Service Restaurants,SD,12641,16340541,7779017
2021,Full-Service Restaurants,TN,151925,318089549,113920222
2021,Full-Service Restaurants,TX,638524,1153776264,513530393
2021,Full-Service Restaurants,UT,38891,86530475,38043804
2021,Full-Service Restaurants,VA,196772,268595552,134843876
2021,Full-Service Restaurants,VT,22600,17667590,9395988
2021,Full-Service Restaurants,WA,447867,221033286,116212675
2021,Full-Service Restaurants,WI,65654,117398429,56128875
2021,Full-Service Restaurants,WV,31140,52871567,17889779
2021,Full-Service Restaurants,WY,5876,15183837,7406158
2021,Limited-Service Restaurants,AK,13279,11949592,6517993
2021,Limited-Service Restaurants,AL,166914,68275350,36112020
2021,Limited-Service Restaurants,AR,98654,64188845,27523714
2021,Limited-Service Restaurants,AZ,213729,129204389,77116682
2021,Limited-Service Restaurants,CA,9861713,841419089,412710218
2021,Limited-Service Restaurants,CO,172719,115568791,69189279
2021,Limited-Service Restaurants,CT,814524,71518381,38602401
2021,Limited-Service Restaurants,DE,23898,17085134,9295208
2021,Limited-Service Restaurants,FL,593423,659724522,346510369
2021,Limited-Service Restaurants,GA,345665,220508063,113119206
2021,Limited-Service Restaurants,HI,33002,27317273,12762887
2021,Limited-Service Restaurants,IA,84792,61302257,31983670
2021,Limited-Service Restaurants,ID,45903,30553843,15462218
2021,Limited-Service Restaurants,IL,363246,1019693945,137528561
2021,Limited-Service Restaurants,IN,200744,127757481,65285165
2021,Limited-Service Restaurants,KS,95897,155340632,125560696
2021,Limited-Service Restaurants,KY,148581,116021801,48433295
2021,Limited-Service Restaurants,LA,139508,93794679,50757942
2021,Limited-Service Restaurants,MA,1523256,111658997,60588217
2021,Limited-Service Restaurants,MD,1475436,123324899,68211774
2021,Limited-Service Restaurants,ME,28087,17600846,10398674
2021,Limited-Service Restaurants,MI,280642,209633634,99158214
2021,Limited-Service Restaurants,MN,136463,123854824,67336992
2021,Limited-Service Restaurants,MO,187414,125838772,73602367
2021,Limited-Service Restaurants,MS,95607,52086715,25190488
2021,Limited-Service Restaurants,MT,24109,18198863,8984717
2021,Limited-Service Restaurants,NC,331713,240036172,99422842
2021,Limited-Service Restaurants,ND,19896,17362927,7698267
2021,Limited-Service Restaurants,NE,62642,45508553,20081541
2021,Limited-Service Restaurants,NH,32853,16838526,9470438
2021,Limited-Service Restaurants,NJ,1752728,178120780,103127183
2021,Limited-Service Restaurants,NM,57637,37040193,17227169
2021,Limited-Service Restaurants,NV,103279,51044477,30389549
2021,Limited-Service Restaurants,NY,3505496,443734960,219238864
2021,Limited-Service Restaurants,OH,355617,238278559,133884713
2021,Limited-Service Restaurants,OK,135305,76915488,34090230
2021,Limited-Service Restaurants,OR,1031104,93847066,54930083
2021,Limited-Service Restaurants,PA,275499,246147491,121440108
2021,Limited-Service Restaurants,RI,248512,19343948,11134534
2021,Limited-Service Restaurants,SC,163200,91339143,45037153
2021,Limited-Service Restaurants,SD,25238,21025273,12699489
2021,Limited-Service Restaurants,TN,232195,163324404,74232365
2021,Limited-Service Restaurants,TX,935606,623814993,332151523
2021,Limited-Service Restaurants,UT,88489,58875500,29096476
2021,Limited-Service Restaurants,VA,259645,145230389,82783748
2021,Limited-Service Restaurants,VT,90383,9242999,5438619
2021,Limited-Service Restaurants,WA,1660954,141331042,77433146
2021,Limited-Service Restaurants,WI,137194,110993606,55006410
2021,Limited-Service Restaurants,WV,52545,25949914,14071677
2021,Limited-Service Restaurants,WY,17687,7573466,4216005
2022,Caterers,AK,331,764348,298453
2022,Caterers,AL,1652,5080187,2268033
2022,Caterers,AR,1463,2369076,1060134
2022,Caterers,AZ,5406,11087986,4290133
2022,Caterers,CA,4721339,88978698,46515199
2022,Caterers,CO,6555,11389335,5244687
2022,Caterers,CT,561665,10472682,5134245
2022,Caterers,DE,406,1756967,632715
2022,Caterers,FL,18057,66639819,28071934
2022,Caterers,GA,9892,25295019,8775003
2022,Caterers,HI,2306,4599795,2778078
2022,Caterers,IA,1550,5565514,1740769
2022,Caterers,ID,1037,1465648,550027
2022,Caterers,IL,18315,28176421,14767870
2022,Caterers,IN,7289,9785798,3999187
2022,Caterers,KS,1990,3440670,1672872
2022,Caterers,KY,3931,19739785,4556551
2022,Caterers,LA,5098,18655108,7460052
2022,Caterers,MA,1458314,14555882,7964528
2022,Caterers,MD,944760,15485158,7090650
2022,Caterers,ME,1341,1213492,585631
2022,Caterers,MI,14285,15610805,6566685
2022,Caterers,MN,6767,10303788,4284078
2022,Caterers,MO,7737,10763513,4431143
2022,Caterers,MS,1092,4026153,1918372
2022,Caterers,MT,756,1499369,629829
2022,Caterers,NC,7575,17922135,7809060
2022,Caterers,ND,271,1541410,506087
2022,Caterers,NE,1826,2955462,1354155
2022,Caterers,NH,1801,1988879,851516
2022,Caterers,NJ,1689693,27371777,13621748
2022,Caterers,NM,871,2590668,991919
2022,Caterers,NV,2319,5743028,3895677
2022,Caterers,NY,3574067,47169378,24306582
2022,Caterers,OH,14546,18088788,8714725
2022,Caterers,OK,3388,4937381,1552484
2022,Caterers,OR,349306,7264647,3465731
2022,Caterers,PA,16079,27309995,11558788
2022,Caterers,RI,176331,2288991,1074809
2022,Caterers,SC,5580,6323908,2793712
2022,Caterers,SD,311,1156214,452682
2022,Caterers,TN,5307,12730781,6248932
2022,Caterers,TX,24358,54049016,20184856
2022,Caterers,UT,3831,3916346,1860778
2022,Caterers,VA,7901,20405160,7250538
2022,Caterers,VT,91746,1039430,516972
2022,Caterers,WA,804903,9596357,4942706
2022,Caterers,WI,6712,7350705,2832271
2022,Caterers,WV,261,2471718,1304877
2022,Caterers,WY,376,364202,194408
2022,Full-Service Restaurants,AK,8916,17524658,7930288
2022,Full-Service Restaurants,AL,163547,114919066,55257916
2022,Full-Service Restaurants,AR,87306,57327297,27368723
2022,Full-Service Restaurants,AZ,223606,231204016,110959477
2022,Full-Service Restaurants,CA,19340057,1491779280,794580236
2022,Full-Service Restaurants,CO,196120,195507751,103100674
2022,Full-Service Restaurants,CT,1629880,120343956,60474007
2022,Full-Service Restaurants,DE,32314,31002852,15679448
2022,Full-Service Restaurants,FL,894534,1091889938,545086763
2022,Full-Service Restaurants,GA,391425,328385069,161709183
2022,Full-Service Restaurants,HI,37227,47021028,26033493
2022,Full-Service Restaurants,IA,65330,72193464,33206640
2022,Full-Service Restaurants,ID,34735,44499435,22406502
2022,Full-Service Restaurants,IL,330358,457530753,172110037
2022,Full-Service Restaurants,IN,203637,179232020,92210621
2022,Full-Service Restaurants,KS,86731,69447305,31150086
2022,Full-Service Restaurants,KY,161972,124588267,52728895
2022,Full-Service Restaurants,LA,100451,141610876,70263704
2022,Full-Service Restaurants,MA,4061054,225664512,128226200
2022,Full-Service Restaurants,MD,3880860,180724719,100684668
2022,Full-Service Restaurants,ME,26051,32779303,17802552
2022,Full-Service Restaurants,MI,223831,221672537,108875859
2022,Full-Service Restaurants,MN,124198,230070334,82800974
2022,Full-Service Restaurants,MO,181421,144680428,72769743
2022,Full-Service Restaurants,MS,72124,63254949,29759780
2022,Full-Service Restaurants,MT,22619,26322278,13536977
2022,Full-Service Restaurants,NC,309148,308233980,139881415
2022,Full-Service Restaurants,ND,27152,16562681,8094718
2022,Full-Service Restaurants,NE,47383,45284162,21322996
2022,Full-Service Restaurants,NH,41276,36300358,17670294
2022,Full-Service Restaurants,NJ,4486615,270200753,137190094
2022,Full-Service Restaurants,NM,62900,64272620,34369453
2022,Full-Service Restaurants,NV,107804,88667002,47630073
2022,Full-Service Restaurants,NY,6740169,655536002,349778872
2022,Full-Service Restaurants,OH,405421,316165971,160219719
2022,Full-Service Restaurants,OK,142804,97897029,47456845
2022,Full-Service Restaurants,OR,1365060,173535138,93281339
2022,Full-Service Restaurants,PA,334991,369538808,175983154
2022,Full-Service Restaurants,RI,463556,34542472,17218048
2022,Full-Service Restaurants,SC,166729,124779354,62916254
2022,Full-Service Restaurants,SD,21728,16340541,7779017
2022,Full-Service Restaurants,TN,260940,318089549,113920222
2022,Full-Service Restaurants,TX,1095645,1153776264,513530393
2022,Full-Service Restaurants,UT,67021,86530475,38043804
2022,Full-Service Restaurants,VA,337837,268595552,134843876
2022,Full-Service Restaurants,VT,123943,17667590,9395988
2022,Full-Service Restaurants,WA,2520694,221033286,116212675
2022,Full-Service Restaurants,WI,113098,117398429,56128875
2022,Full-Service Restaurants,WV,53367,52871567,17889779
2022,Full-Service Restaurants,WY,10073,15183837,7406158
2022,Limited-Service Restaurants,AK,22541,11949592,6517993
2022,Limited-Service Restaurants,AL,280990,68275350,36112020
2022,Limited-Service Restaurants,AR,165442,64188845,27523714
2022,Limited-Service Restaurants,AZ,362711,129204389,77116682
2022,Limited-Service Restaurants,CA,24207280,841419089,412710218
2022,Limited-Service Restaurants,CO,293816,115568791,69189279
2022,Limited-Service Restaurants,CT,2033867,71518381,38602401
2022,Limited-Service Restaurants,DE,40840,17085134,9295208
2022,Limited-Service Restaurants,FL,1007558,659724522,346510369
2022,Limited-Service Restaurants,GA,586433,220508063,113119206
2022,Limited-Service Restaurants,HI,56285,27317273,12762887
2022,Limited-Service Restaurants,IA,142251,61302257,31983670
2022,Limited-Service Restaurants,ID,77345,30553843,15462218
2022,Limited-Service Restaurants,IL,618333,1019693945,137528561
2022,Limited-Service Restaurants,IN,337669,127757481,65285165
2022,Limited-Service Restaurants,KS,161043,155340632,125560696
2022,Limited-Service Restaurants,KY,249365,116021801,48433295
2022,Limited-Service Restaurants,LA,235010,93794679,50757942
2022,Limited-Service Restaurants,MA,3796420,111658997,60588217
2022,Limited-Service Restaurants,MD,3617203,123324899,68211774
2022,Limited-Service Restaurants,ME,48444,17600846,10398674
2022,Limited-Service Restaurants,MI,473282,209633634,99158214
2022,Limited-Service Restaurants,MN,230943,123854824,67336992
2022,Limited-Service Restaurants,MO,314436,125838772,73602367
2022,Limited-Service Restaurants,MS,160376,52086715,25190488
2022,Limited-Service Restaurants,MT,40287,18198863,8984717
2022,Limited-Service Restaurants,NC,562961,240036172,99422842
2022,Limited-Service Restaurants,ND,33403,17362927,7698267
2022,Limited-Service Restaurants,NE,106234,45508553,20081541
2022,Limited-Service Restaurants,NH,56809,16838526,9470438
2022,Limited-Service Restaurants,NJ,4339721,178120780,103127183
2022,Limited-Service Restaurants,NM,97108,37040193,17227169
2022,Limited-Service Restaurants,NV,175510,51044477,30389549
2022,Limited-Service Restaurants,NY,8697873,443734960,219238864
2022,Limited-Service Restaurants,OH,599638,238278559,133884713
2022,Limited-Service Restaurants,OK,226607,76915488,34090230
2022,Limited-Service Restaurants,OR,2529390,93847066,54930083
2022,Limited-Service Restaurants,PA,468257,246147491,121440108
2022,Limited-Service Restaurants,RI,617305,19343948,11134534
2022,Limited-Service Restaurants,SC,276709,91339143,45037153
2022,Limited-Service Restaurants,SD,42263,21025273,12699489
2022,Limited-Service Restaurants,TN,390956,163324404,74232365
2022,Limited-Service Restaurants,TX,1583580,623814993,332151523
2022,Limited-Service Restaurants,UT,148865,58875500,29096476
2022,Limited-Service Restaurants,VA,440649,145230389,82783748
2022,Limited-Service Restaurants,VT,223392,9242999,5438619
2022,Limited-Service Restaurants,WA,4063302,141331042,77433146
2022,Limited-Service Restaurants,WI,229972,110993606,55006410
2022,Limited-Service Restaurants,WV,87991,25949914,14071677
2022,Limited-Service Restaurants,WY,29612,7573466,4216005
